codigo;marca
222682892;Sweet Dreams
165625839;Parx
258953889;Vishudh
214512447;Vishudh
214097727;DKNY
182535774;Guess
251082461;Michael Kors
208839574;Parx
286688263;DKNY
170981160;PARFAIT
287107410;SHOWOFF
130624784;EthnoVogue
140854172;Bvlgari
224075999;EthnoVogue
208174068;Parx
268551330;Homesake
146505277;DKNY
174995135;Roadster
222628273;YAK
209040540;Bvlgari
189819347;DKNY
264310402;PARFAIT
292257832;Roadster
141117341;YAK
247581957;Bvlgari
242759200;Kenneth Cole
260635012;Police
265915781;Guess
174855824;GAS
183769330;PARFAIT
185568032;HIGHLANDER
299334714;PARFAIT
147423732;GAS
215769547;Kenneth Cole
154589016;SPYKAR
143973237;HIGHLANDER
112902148;Police
101481989;Homesake
134999949;DKNY
145222879;PARFAIT
222652960;PARFAIT
270921791;Michael Kors
299902912;Guess
279002434;HIGHLANDER
172559788;Homesake
211497246;Parx
161413084;Michael Kors
203493235;SPYKAR
244318889;SHOWOFF
265018297;DKNY
242669196;EthnoVogue
119119832;YAK
139985406;DKNY
188081110;Homesake
107412114;HIGHLANDER
293268493;GAS
252647800;YAK
114051542;Homesake
103656120;EthnoVogue
238081088;YAK
160400862;SEJ
222913343;Raymond
220765852;Michael Kors
115010077;HIGHLANDER
208896459;Bvlgari
264773917;SEJ
244802174;Homesake
156286870;SHOWOFF
212647775;Guess
171322071;GAS
223320170;HIGHLANDER
259689596;YAK
187684250;SHOWOFF
228284187;Raymond
207311855;DKNY
194603940;Raymond
285122210;Guess
156245220;EthnoVogue
247417135;YAK
191778792;Bvlgari
182382254;HIGHLANDER
237061029;DKNY
164270488;GAS
272199269;Homesake
119472376;Roadster
247205923;Guess
253595166;Kenneth Cole
294993089;GAS
112435202;SEJ
240103155;EthnoVogue
201103147;Sweet Dreams
218333616;SPYKAR
166437007;EthnoVogue
285793161;GAS
264840241;Roadster
276286749;Roadster
144711652;HIGHLANDER
276242711;PARFAIT
108988715;Michael Kors
180824691;Parx
202324191;DKNY
160332068;GAS
271163994;HIGHLANDER
107069249;Police
130451926;Roadster
202060910;Guess
212590923;SEJ
143613990;Bvlgari
152476366;SPYKAR
238290603;Homesake
299466372;Raymond
274055303;Homesake
176028737;SEJ
211553981;YAK
230872769;Sweet Dreams
215437713;HIGHLANDER
222626945;Parx
